iteracion,epoch,mh,tipo,lcoe_best,lcoe_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
118,3,PSO,poblacional,0.26716061422538084,0.26716061422538084,False,False,,,0.006879418625360789,,,,0,0,0,Llenando ventana
119,3,PSO,poblacional,0.26716061422538084,0.26718792861235874,False,False,,,0.007039808985928098,,,,0,0,0,Llenando ventana
120,3,PSO,poblacional,0.26716061422538084,0.26719679968822685,False,False,,,0.007385694931460185,,,,0,0,0,Llenando ventana
121,3,PSO,poblacional,0.26716061422538084,0.267183144990652,False,False,,,0.0075460852920274935,,,,0,0,0,Llenando ventana
122,3,PSO,poblacional,0.26716029396259244,0.26716029396259244,False,False,,,0.0077058351270180014,,,,0,0,0,Llenando ventana
123,3,PSO,poblacional,0.26716029396259244,0.2672136095602009,False,False,,,0.008002304378528002,,,,0,0,0,Llenando ventana
124,3,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.008000888055703426,,,,0,0,0,Llenando ventana
125,3,PSO,poblacional,0.2671595858011802,0.2671675717920824,False,False,,,0.00812428719408903,,,,0,0,0,Llenando ventana
126,3,PSO,poblacional,0.2671595858011802,0.26716502579033863,False,False,,,0.008247686332474635,,,,0,0,0,Llenando ventana
127,3,PSO,poblacional,0.2671595858011802,0.26716266080991313,False,False,,,0.00837108547086024,,,,0,0,0,Llenando ventana
128,3,PSO,poblacional,0.2671595858011802,0.2671638113244844,False,False,,,0.008790953860755735,,,,0,0,0,Llenando ventana
129,3,PSO,poblacional,0.2671595858011802,0.26716188801802404,False,False,,,0.00891435299914134,,,,0,0,0,Llenando ventana
130,3,PSO,poblacional,0.2671595858011802,0.2671599961772502,False,False,,,0.009037752137526944,,,,0,0,0,Llenando ventana
131,3,PSO,poblacional,0.2671595858011802,0.26716184021250267,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
132,3,PSO,poblacional,0.2671595858011802,0.2671934254425252,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
133,3,PSO,poblacional,0.2671595858011802,0.26716187112076933,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
134,3,PSO,poblacional,0.2671595858011802,0.2671620150029278,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
135,3,PSO,poblacional,0.2671595858011802,0.2671596363558772,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
136,3,PSO,poblacional,0.2671595858011802,0.2671623796862971,False,False,,,0.009144811277001452,,,,0,0,0,Llenando ventana
137,3,PSO,poblacional,0.2671595858011802,0.2671599209353161,False,False,,,0.009202130578240875,,,,0,0,0,Llenando ventana
138,3,PSO,poblacional,0.2671595858011802,0.26716003552014916,False,False,,,0.009292244323563181,,,,0,0,0,Llenando ventana
139,3,PSO,poblacional,0.2671595858011802,0.2671597957206474,False,False,,,0.009382358068885488,,,,0,0,0,Llenando ventana
140,3,PSO,poblacional,0.2671595858011802,0.2671596553287118,False,False,,,0.009472471814207795,,,,0,0,0,Llenando ventana
141,3,PSO,poblacional,0.2671595858011802,0.26716002915571774,False,False,,,0.009634833534732934,,,,0,0,0,Llenando ventana
142,4,ILS,trayectoria,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,1,Llenando ventana
143,4,ILS,trayectoria,0.2671595858011802,0.2671595858011802,False,False,,,,,,,1,0,2,Llenando ventana
